acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gir_x,gir_y,gir_z,displacement_speed,label
-750,9251,-12953,-573,1501,-367,-1462,-1050,-351,0,Standing-Ruminating
-203,8856,-13247,-560,1511,-250,642,949,-629,0,Standing-Ruminating
1005,7444,-13777,-570,1512,-299,671,751,-843,0,Standing-Ruminating
464,9145,-13208,-550,1515,-218,485,1319,-974,0,Standing-Ruminating
1315,7630,-13270,-576,1518,-277,-950,-944,766,0,Standing-Ruminating
7910,7080,-11968,560,-484,-1237,-61,466,-244,0,Lying-Ruminating
6908,7916,-11823,496,-445,-1290,1237,424,-1468,0,Lying-Ruminating
6189,8902,-11739,644,-440,-1272,97,520,-407,0,Lying-Ruminating
6804,8062,-12716,542,-496,-1276,-399,-514,2196,0,Lying-Ruminating
3430,671,-16644,-1032,-87,-869,-3012,9073,-11637,0,Lying-Ruminating
4053,8601,-12827,477,-399,-1379,42,846,-482,0,Lying-Ruminating
4068,8723,-12289,445,-402,-1383,739,227,757,0,Lying-Ruminating
4870,9643,-12039,451,-406,-1359,-831,422,-1164,0,Lying-Ruminating
4792,9355,-12357,435,-406,-1346,638,880,-884,0,Lying-Ruminating
5173,7513,-12866,446,-394,-1352,1036,-499,1632,0,Lying-Ruminating
4715,8692,-12548,480,-409,-1305,-798,-918,1520,0,Lying-Ruminating
4959,9309,-11960,466,-410,-1341,397,705,-721,0,Lying-Ruminating
5520,8510,-12513,480,-410,-1372,1535,756,-444,0,Lying-Ruminating
5001,8719,-12544,528,-383,-1355,-924,-1104,1364,0,Lying-Ruminating
3840,9166,-12915,590,-374,-1331,966,492,-1073,0,Lying-Ruminating
3703,7773,-12739,519,-381,-1324,1056,-302,1316,0,Lying-Ruminating
4209,8659,-12359,550,-367,-1313,-628,-834,2046,0,Lying-Ruminating
3762,9512,-12237,558,-367,-1310,443,832,-767,0,Lying-Ruminating
5971,8919,-11548,746,-370,-1227,560,-158,217,0,Lying-Ruminating
6523,8522,-12186,726,-381,-1207,903,942,-276,0,Lying-Ruminating
5856,9142,-11767,736,-385,-1191,550,781,-665,0,Lying-Ruminating
6868,7739,-12678,497,-426,-1321,-1,154,125,0,Lying-Ruminating
6228,9100,-11628,543,-448,-1320,-1006,-378,93,0,Lying-Ruminating
6291,8508,-11847,539,-409,-1364,1070,867,-727,0,Lying-Ruminating
6186,9949,-11465,609,-414,-1264,-516,-926,-1906,0,Lying-Ruminating
4577,9511,-11908,550,-397,-1348,-68,1341,-1784,0,Lying-Ruminating
4892,9329,-11927,562,-414,-1252,145,1650,-2067,0,Lying-Ruminating
5548,8577,-12549,594,-398,-1305,142,54,531,0,Lying-Ruminating
4069,9561,-11839,607,-374,-1302,-391,-148,12,0,Lying-Ruminating
4544,9135,-12159,657,-394,-1279,-826,-1308,1625,0,Lying-Ruminating
4841,9691,-12199,634,-374,-1310,-427,257,-255,0,Lying-Ruminating
5259,9130,-12081,567,-317,-1395,-803,-1484,1671,0,Lying-Ruminating
5086,9967,-11672,619,-312,-1341,-323,-296,664,0,Lying-Ruminating
4006,10234,-11097,634,-302,-1382,-838,-1468,1331,0,Lying-Ruminating
4709,9422,-11940,594,-321,-1288,468,634,-247,0,Lying-Ruminating
4844,9307,-11535,610,-366,-1300,-237,500,-302,0,Lying-Ruminating
5007,10067,-11385,635,-359,-1256,-438,34,-393,0,Lying-Ruminating
5701,9763,-11676,671,-355,-1289,-347,393,-358,0,Lying-Ruminating
5783,9001,-12110,652,-347,-1305,551,871,175,0,Lying-Ruminating
5736,9211,-11972,607,-380,-1278,-846,-404,822,0,Lying-Ruminating
5508,8555,-12995,653,-363,-1321,-142,-503,1514,0,Lying-Ruminating
5013,10118,-11567,632,-370,-1282,-761,698,-504,0,Lying-Ruminating
3001,9652,-12626,696,-309,-1277,450,1639,2014,0,Lying-Ruminating
6235,8473,-11884,951,-389,-1080,-1916,-2374,3513,0,Lying-Ruminating
6828,8258,-11601,537,-429,-1261,922,770,-1007,0,Lying-Ruminating
5568,8804,-11805,557,-427,-1266,-551,-630,478,0,Lying-Ruminating
6668,7885,-12062,519,-410,-1293,-601,-705,942,0,Lying-Ruminating
6611,9318,-11603,461,-417,-1305,417,1272,-1180,0,Lying-Ruminating
5239,9407,-11189,474,-446,-1353,-277,604,-933,0,Lying-Ruminating
4984,8953,-12218,552,-399,-1281,153,180,201,0,Lying-Ruminating
4955,8994,-12448,511,-415,-1348,-676,197,-13,0,Lying-Ruminating
4876,9429,-11863,516,-408,-1303,-463,129,-325,0,Lying-Ruminating
5051,8653,-12104,492,-415,-1292,1060,1262,-1204,0,Lying-Ruminating
5439,8956,-12340,510,-384,-1309,1007,1423,-1030,0,Lying-Ruminating
4759,9328,-11944,528,-428,-1277,-882,-748,529,0,Lying-Ruminating
7270,9251,-11219,503,-411,-1307,-935,-218,639,0,Lying-Ruminating
6106,7793,-11889,393,-342,-1408,1530,912,-1265,0,Lying-Ruminating
6019,8574,-12452,448,-347,-1320,139,-175,1001,0,Lying-Ruminating
5943,9777,-11417,468,-345,-1348,-491,377,-123,0,Lying-Ruminating
5909,8919,-11982,444,-368,-1383,182,245,-26,0,Lying-Ruminating
4992,9931,-11102,444,-385,-1387,-108,808,-1342,0,Lying-Ruminating
5115,9357,-11805,596,-324,-1354,8,390,-174,0,Lying-Ruminating
6757,7694,-12748,658,-425,-1226,370,565,-344,0,Lying-Ruminating
6489,8551,-12133,673,-438,-1208,-334,97,-3,0,Lying-Ruminating
5726,8768,-11905,698,-424,-1180,-543,-563,236,0,Lying-Ruminating
6816,7767,-12588,661,-423,-1217,226,298,280,0,Lying-Ruminating
3434,9417,-12344,661,-347,-1272,669,473,-307,0,Lying-Ruminating
3811,9687,-11989,623,-389,-1304,-783,-113,-501,0,Lying-Ruminating
4337,7732,-12733,548,-376,-1299,1408,675,-66,0,Lying-Ruminating
4805,8915,-12313,575,-386,-1283,-1034,-701,1456,0,Lying-Ruminating
4628,8711,-12415,554,-406,-1342,1187,775,-459,0,Lying-Ruminating
3603,8571,-14216,538,-388,-1307,601,1381,-532,0,Lying-Ruminating
4992,8735,-12436,556,-387,-1269,341,289,6,0,Lying-Ruminating
5238,8765,-12873,579,-394,-1288,839,368,-152,0,Lying-Ruminating
5329,7930,-12416,634,-410,-1304,1097,228,479,0,Lying-Ruminating
5263,9497,-12046,620,-400,-1247,203,584,-609,0,Lying-Ruminating
5848,8309,-12843,624,-406,-1282,-63,462,-90,0,Lying-Ruminating
5436,12057,-11042,643,-403,-1232,-2701,-816,1854,0,Lying-Ruminating
4944,8605,-12391,552,-404,-1340,1099,657,-288,0,Lying-Ruminating
4480,7598,-12490,562,-386,-1339,990,93,769,0,Lying-Ruminating
3819,9369,-11740,561,-379,-1294,-184,452,-1129,0,Lying-Ruminating
5183,8617,-12831,557,-392,-1320,-133,349,356,0,Lying-Ruminating
3363,9743,-12132,605,-276,-1353,1049,1148,-1010,0,Lying-Ruminating
3179,10498,-11726,600,-296,-1317,-947,-773,504,0,Lying-Ruminating
3417,9669,-12310,597,-298,-1369,738,667,-493,0,Lying-Ruminating
3464,10061,-11832,610,-290,-1301,-22,357,-180,0,Lying-Ruminating
4893,9020,-12529,647,-352,-1258,-561,-409,503,0,Lying-Ruminating
4749,9162,-12094,652,-335,-1262,857,675,-152,0,Lying-Ruminating
4916,9212,-11948,661,-350,-1243,185,63,-18,0,Lying-Ruminating
4540,8732,-12340,646,-356,-1318,164,310,100,0,Lying-Ruminating
1724,6499,-11960,256,-611,-1207,-3694,-5297,7406,0,Lying-Ruminating
5512,6999,-13076,206,-444,-1325,291,939,-2438,0,Lying-Ruminating
4882,9244,-12137,497,-384,-1353,-184,545,-119,0,Lying-Ruminating
4693,9529,-11932,519,-372,-1348,-148,215,200,0,Lying-Ruminating
3420,10312,-11881,617,-330,-1302,-675,85,603,0,Lying-Ruminating
4039,9134,-12491,689,-289,-1272,304,-201,904,0,Lying-Ruminating
4054,9239,-12538,679,-292,-1288,948,261,118,0,Lying-Ruminating
3824,9573,-12081,650,-309,-1355,916,976,-768,0,Lying-Ruminating
3659,9083,-12451,640,-308,-1273,978,232,178,0,Lying-Ruminating
3897,9684,-12158,654,-326,-1270,-339,-268,765,0,Lying-Ruminating
3634,9470,-12286,657,-261,-1348,495,-290,1194,0,Lying-Ruminating
3165,10033,-12106,637,-271,-1325,947,666,-894,0,Lying-Ruminating
3584,10343,-11889,625,-315,-1322,-551,130,727,0,Lying-Ruminating
3642,10056,-11955,572,-330,-1308,693,1116,-1102,0,Lying-Ruminating
3718,8232,-12445,587,-315,-1354,751,-334,1191,0,Lying-Ruminating
3966,9497,-12116,593,-318,-1348,-17,-166,677,0,Lying-Ruminating
3588,9355,-12342,599,-308,-1355,847,312,-153,0,Lying-Ruminating
3805,10288,-12068,590,-317,-1340,22,1158,-1353,0,Lying-Ruminating
2054,10345,-11988,1328,164,-873,-606,933,-2078,0,Standing-Ruminating
3023,9826,-12278,1325,176,-839,-867,864,-960,0,Standing-Ruminating
2265,10219,-12197,1305,143,-966,-248,403,102,0,Standing-Ruminating
1540,9951,-12525,1309,144,-950,626,-489,758,0,Standing-Ruminating
2700,9460,-12603,1304,128,-950,492,-386,1049,0,Standing-Ruminating
2064,9448,-12529,1284,141,-922,482,-347,931,0,Standing-Ruminating
2198,10067,-12269,1263,99,-1012,855,510,142,0,Standing-Ruminating
2965,9002,-12647,1077,-119,-1126,-603,-905,1033,0,Standing-Ruminating
1514,8830,-12801,376,-446,-1340,125,-69,-999,0,Standing-Ruminating
2661,10024,-12059,1110,-58,-1074,450,809,-646,0,Standing-Ruminating
3538,8883,-12717,1142,-22,-1104,811,-552,1323,0,Standing-Ruminating
2779,10274,-12092,1147,-40,-1038,-346,348,270,0,Standing-Ruminating
3038,9119,-12424,1005,-142,-1156,1010,60,909,0,Standing-Ruminating
2790,10544,-11988,997,-122,-1143,-217,222,-228,0,Standing-Ruminating
2649,10210,-11634,948,-143,-1161,174,-46,408,0,Standing-Ruminating
1836,10724,-11671,954,-141,-1230,-581,1348,-2257,0,Standing-Ruminating
2614,9479,-12424,1000,-77,-1207,1464,783,-138,0,Standing-Ruminating
1887,9824,-12382,1140,12,-1119,-20,223,530,0,Standing-Ruminating
-7151,7805,-11788,-762,1310,73,1431,-1503,3804,0,Grazing
-3049,8134,-12645,-334,1581,-69,208,2199,2268,0,Grazing
-124,9366,-12923,-241,1607,-87,845,514,-250,0,Standing-Ruminating
801,9844,-12428,-442,1547,-120,841,1086,-679,0,Standing-Ruminating
420,10163,-12217,-441,1550,-136,636,1010,-390,0,Standing-Ruminating
290,9520,-11872,-400,1577,-186,-892,-576,-194,0,Standing-Ruminating
1236,8658,-13196,-332,1585,-97,621,198,545,0,Standing-Ruminating
